ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
68862;-60.4394;0.9396;Rorainópolis;Sede Municipal;RORAIMA;4710;4506;4598;4659;4426;4106;4374;4459;5008;5348;5332;5000;4707
68870;-59.6968;0.8767;Caroebe;Sede Municipal;RORAIMA;4676;4412;4486;4486;4334;4137;4452;4501;5095;5289;5250;5053;4618
69051;-60.0387;1.0169;São Luiz;Sede Municipal;RORAIMA;4713;4455;4523;4619;4409;4155;4416;4470;5048;5351;5336;5096;4674
69052;-59.9137;0.9513;São João da Baliza;Sede Municipal;RORAIMA;4698;4459;4525;4593;4380;4125;4449;4438;5001;5310;5310;5098;4689
70410;-61.1282;1.8199;Caracaraí;Sede Municipal;RORAIMA;4822;4624;4755;4922;4587;4194;4500;4496;4993;5460;5393;5136;4807
70878;-61.0529;2.1668;Iracema;Sede Municipal;RORAIMA;4862;4649;4748;5064;4680;4327;4509;4552;4985;5477;5406;5152;4800
71062;-60.9209;2.4448;Mucajaí;Sede Municipal;RORAIMA;4858;4610;4678;4939;4661;4277;4539;4585;5063;5549;5423;5207;4760
71221;-60.6029;2.6105;Cantá;Sede Municipal;RORAIMA;4867;4580;4666;4944;4676;4324;4558;4587;5091;5621;5468;5187;4702
71344;-60.6762;2.8231;Boa Vista;Capital Estadual;RORAIMA;4886;4597;4712;4946;4790;4426;4599;4690;5147;5527;5431;5114;4662
71456;-61.3076;2.9882;Alto Alegre;Sede Municipal;RORAIMA;4850;4535;4727;4945;4761;4389;4596;4748;5148;5444;5304;4980;4630
71706;-59.8337;3.3613;Bonfim;Sede Municipal;RORAIMA;5085;4755;4844;5136;5029;4645;4855;4897;5324;5746;5655;5315;4813
71864;-61.4185;3.6531;Amajari;Sede Municipal;RORAIMA;5129;4863;4997;5210;5124;4742;4830;4977;5432;5755;5535;5237;4844
71998;-59.6317;3.8821;Normandia;Sede Municipal;RORAIMA;5096;4717;4877;5146;5078;4798;4964;5050;5478;5777;5403;5138;4728
72195;-61.1481;4.4795;Pacaraima;Sede Municipal;RORAIMA;5085;4815;5032;5200;5280;4861;4728;4860;5219;5618;5462;5159;4785
72220;-60.1634;4.5949;Uiramutã;Sede Municipal;RORAIMA;5142;4833;5071;5309;5245;4867;4855;5082;5407;5709;5520;5162;4650
